"STUDY_ID","GROUP","ABUNDANCE","TAXON","PLOT","MONTH","YEAR","REGION","LEPIDOPTERA_FAMILY","LEPIDOPTERA_SUPERFAMILY"
"BONEBRAKE_et_al_2016","Lepidoptera",1,"Graphium sarpedon","T1",10,2003,"Asia","Papilionidae","Papilionoidea"
"BONEBRAKE_et_al_2016","Lepidoptera",1,"Ideopsis similis","T1",10,2003,"Asia","Nymphalidae","Papilionoidea"
"BONEBRAKE_et_al_2016","Lepidoptera",1,"Jamides bochus","T1",10,2003,"Asia","Lycaenidae","Papilionoidea"
"BONEBRAKE_et_al_2016","Lepidoptera",2,"Lamproptera curius","T1",10,2003,"Asia","Papilionidae","Papilionoidea"
"BONEBRAKE_et_al_2016","Lepidoptera",4,"Lethe syrcis","T1",10,2003,"Asia","Nymphalidae","Papilionoidea"
"BONEBRAKE_et_al_2016","Lepidoptera",1,"Neptis namba","T1",10,2003,"Asia","Nymphalidae","Papilionoidea"
"BONEBRAKE_et_al_2016","Lepidoptera",1,"Papilio helenus","T1",10,2003,"Asia","Papilionidae","Papilionoidea"
"BONEBRAKE_et_al_2016","Lepidoptera",2,"Papilio paris","T1",10,2003,"Asia","Papilionidae","Papilionoidea"
"BONEBRAKE_et_al_2016","Lepidoptera",1,"Parantica sita","T1",10,2003,"Asia","Nymphalidae","Papilionoidea"
"BONEBRAKE_et_al_2016","Lepidoptera",2,"Parnara sp","T1",10,2003,"Asia","Hesperiidae","Papilionoidea"
"BONEBRAKE_et_al_2016","Lepidoptera",9,"Pieris canidia","T1",10,2003,"Asia","Pieridae","Papilionoidea"
"BONEBRAKE_et_al_2016","Lepidoptera",4,"Prioneris thestylis","T1",10,2003,"Asia","Pieridae","Papilionoidea"
"BONEBRAKE_et_al_2016","Lepidoptera",5,"Ragadia crisilda","T1",10,2003,"Asia","Satyridae","Other"
"BONEBRAKE_et_al_2016","Lepidoptera",1,"Stibochiona nicea","T1",10,2003,"Asia","Nymphalidae","Papilionoidea"
"BONEBRAKE_et_al_2016","Lepidoptera",2,"Vindula erota","T1",10,2003,"Asia","Nymphalidae","Papilionoidea"
"BONEBRAKE_et_al_2016","Lepidoptera",5,"Ypthima baldus","T1",10,2003,"Asia","Satyridae","Other"
"BONEBRAKE_et_al_2016","Lepidoptera",1,"Ypthima imitans","T1",10,2003,"Asia","Satyridae","Other"
"BONEBRAKE_et_al_2016","Lepidoptera",1,"Zemeros flegyas","T1",10,2003,"Asia","Riodinidae","Papilionoidea"
"BONEBRAKE_et_al_2016","Lepidoptera",8,"Appias albina","T1",10,2003,"Asia","Pieridae","Papilionoidea"
"BONEBRAKE_et_al_2016","Lepidoptera",4,"Appias lyncida","T1",10,2003,"Asia","Pieridae","Papilionoidea"
"BONEBRAKE_et_al_2016","Lepidoptera",10,"Argyreus hyperbius","T1",10,2003,"Asia","Nymphalidae","Papilionoidea"
"BONEBRAKE_et_al_2016","Lepidoptera",4,"Ariadne ariadne","T1",10,2003,"Asia","Papilionidae","Papilionoidea"
"BONEBRAKE_et_al_2016","Lepidoptera",1,"Catopsilia pomona","T1",10,2003,"Asia","Pieridae","Papilionoidea"
"BONEBRAKE_et_al_2016","Lepidoptera",3,"Cepora nadina","T1",10,2003,"Asia","Pieridae","Papilionoidea"
"BONEBRAKE_et_al_2016","Lepidoptera",10,"Cethosia biblis","T1",10,2003,"Asia","Nymphalidae","Papilionoidea"
"BONEBRAKE_et_al_2016","Lepidoptera",4,"Danaus genutia","T1",10,2003,"Asia","Nymphalidae","Papilionoidea"
"BONEBRAKE_et_al_2016","Lepidoptera",13,"Euploea mulciber","T1",10,2003,"Asia","Nymphalidae","Papilionoidea"
"BONEBRAKE_et_al_2016","Lepidoptera",2,"Eurema blanda","T1",10,2003,"Asia","Pieridae","Papilionoidea"
"BONEBRAKE_et_al_2016","Lepidoptera",6,"Eurema hecabe","T1",10,2003,"Asia","Pieridae","Papilionoidea"
"BONEBRAKE_et_al_2016","Lepidoptera",3,"Graphium sarpedon","T1",10,2003,"Asia","Papilionidae","Papilionoidea"
"BONEBRAKE_et_al_2016","Lepidoptera",1,"Hebomoia glaucippe","T1",10,2003,"Asia","Pieridae","Papilionoidea"
"BONEBRAKE_et_al_2016","Lepidoptera",4,"Ideopsis similis","T1",10,2003,"Asia","Nymphalidae","Papilionoidea"
"BONEBRAKE_et_al_2016","Lepidoptera",3,"Jamides alecto","T1",10,2003,"Asia","Lycaenidae","Papilionoidea"
"BONEBRAKE_et_al_2016","Lepidoptera",4,"Jamides bochus","T1",10,2003,"Asia","Lycaenidae","Papilionoidea"
"BONEBRAKE_et_al_2016","Lepidoptera",1,"Lampides boeticus","T1",10,2003,"Asia","Lycaenidae","Papilionoidea"
"BONEBRAKE_et_al_2016","Lepidoptera",1,"Lamproptera curius","T1",10,2003,"Asia","Papilionidae","Papilionoidea"
"BONEBRAKE_et_al_2016","Lepidoptera",1,"Lethe confusa","T1",10,2003,"Asia","Nymphalidae","Papilionoidea"
"BONEBRAKE_et_al_2016","Lepidoptera",7,"Lethe syrcis","T1",10,2003,"Asia","Nymphalidae","Papilionoidea"
"BONEBRAKE_et_al_2016","Lepidoptera",1,"Melanitis leda","T1",10,2003,"Asia","Satyridae","Other"
"BONEBRAKE_et_al_2016","Lepidoptera",1,"Mooreana trichoneura","T1",10,2003,"Asia","Hesperiidae","Papilionoidea"
"BONEBRAKE_et_al_2016","Lepidoptera",3,"Papilio helenus","T1",10,2003,"Asia","Papilionidae","Papilionoidea"
"BONEBRAKE_et_al_2016","Lepidoptera",1,"Parantica sita","T1",10,2003,"Asia","Nymphalidae","Papilionoidea"
"BONEBRAKE_et_al_2016","Lepidoptera",1,"Parnara bada","T1",10,2003,"Asia","Hesperiidae","Papilionoidea"
"BONEBRAKE_et_al_2016","Lepidoptera",1,"Parnara sp","T1",10,2003,"Asia","Hesperiidae","Papilionoidea"
"BONEBRAKE_et_al_2016","Lepidoptera",3,"Parthenos sylvia","T1",10,2003,"Asia","Pieridae","Papilionoidea"
"BONEBRAKE_et_al_2016","Lepidoptera",1,"Pelopidas agna","T1",10,2003,"Asia","Hesperiidae","Papilionoidea"
"BONEBRAKE_et_al_2016","Lepidoptera",10,"Pieris canidia","T1",10,2003,"Asia","Pieridae","Papilionoidea"
"BONEBRAKE_et_al_2016","Lepidoptera",3,"Prioneris thestylis","T1",10,2003,"Asia","Pieridae","Papilionoidea"
"BONEBRAKE_et_al_2016","Lepidoptera",3,"Symbrenthia hypselis","T1",10,2003,"Asia","Nymphalidae","Papilionoidea"
"BONEBRAKE_et_al_2016","Lepidoptera",1,"Tagiades litigiosa","T1",10,2003,"Asia","Hesperiidae","Papilionoidea"
"BONEBRAKE_et_al_2016","Lepidoptera",1,"Tirumala septentrionis","T1",10,2003,"Asia","Nymphalidae","Papilionoidea"
"BONEBRAKE_et_al_2016","Lepidoptera",1,"Troides aeacus","T1",10,2003,"Asia","Papilionidae","Papilionoidea"
"BONEBRAKE_et_al_2016","Lepidoptera",1,"Vanessa cardui","T1",10,2003,"Asia","Nymphalidae","Papilionoidea"
"BONEBRAKE_et_al_2016","Lepidoptera",5,"Vindula erota","T1",10,2003,"Asia","Nymphalidae","Papilionoidea"
"BONEBRAKE_et_al_2016","Lepidoptera",12,"Ypthima baldus","T1",10,2003,"Asia","Satyridae","Other"
"BONEBRAKE_et_al_2016","Lepidoptera",4,"Ypthima imitans","T1",10,2003,"Asia","Satyridae","Other"
"BONEBRAKE_et_al_2016","Lepidoptera",3,"Zemeros flegyas","T1",10,2003,"Asia","Riodinidae","Papilionoidea"
"BONEBRAKE_et_al_2016","Lepidoptera",3,"Cethosia biblis","T1",7,2003,"Asia","Nymphalidae","Papilionoidea"
"BONEBRAKE_et_al_2016","Lepidoptera",1,"Eulacera osteria","T1",7,2003,"Asia","Nymphalidae","Papilionoidea"
"BONEBRAKE_et_al_2016","Lepidoptera",3,"Euploea mulciber","T1",7,2003,"Asia","Nymphalidae","Papilionoidea"
"BONEBRAKE_et_al_2016","Lepidoptera",1,"Hebomoia glaucippe","T1",7,2003,"Asia","Pieridae","Papilionoidea"
"BONEBRAKE_et_al_2016","Lepidoptera",1,"Lethe verma","T1",7,2003,"Asia","Nymphalidae","Papilionoidea"
"BONEBRAKE_et_al_2016","Lepidoptera",2,"Pseudozizeeria maha","T1",7,2003,"Asia","Lycaenidae","Papilionoidea"
"BONEBRAKE_et_al_2016","Lepidoptera",2,"Ypthima baldus","T1",7,2003,"Asia","Satyridae","Other"
"BONEBRAKE_et_al_2016","Lepidoptera",1,"Argyreus hyperbius","T1",8,2003,"Asia","Nymphalidae","Papilionoidea"
"BONEBRAKE_et_al_2016","Lepidoptera",2,"Astictopterus jama","T1",8,2003,"Asia","Hesperiidae","Papilionoidea"
"BONEBRAKE_et_al_2016","Lepidoptera",1,"Cethosia biblis","T1",8,2003,"Asia","Nymphalidae","Papilionoidea"
"BONEBRAKE_et_al_2016","Lepidoptera",3,"Hebomoia glaucippe","T1",8,2003,"Asia","Pieridae","Papilionoidea"
"BONEBRAKE_et_al_2016","Lepidoptera",1,"Hypolimnas bolina","T1",8,2003,"Asia","Nymphalidae","Papilionoidea"
"BONEBRAKE_et_al_2016","Lepidoptera",1,"Lethe vindhya","T1",8,2003,"Asia","Nymphalidae","Papilionoidea"
"BONEBRAKE_et_al_2016","Lepidoptera",2,"Papilio memnon","T1",8,2003,"Asia","Papilionidae","Papilionoidea"
"BONEBRAKE_et_al_2016","Lepidoptera",2,"Papilio paris","T1",8,2003,"Asia","Papilionidae","Papilionoidea"
"BONEBRAKE_et_al_2016","Lepidoptera",2,"Pelopidas agna","T1",8,2003,"Asia","Hesperiidae","Papilionoidea"
"BONEBRAKE_et_al_2016","Lepidoptera",2,"Prioneris thestylis","T1",8,2003,"Asia","Pieridae","Papilionoidea"
"BONEBRAKE_et_al_2016","Lepidoptera",2,"Pseudozizeeria maha","T1",8,2003,"Asia","Lycaenidae","Papilionoidea"
"BONEBRAKE_et_al_2016","Lepidoptera",1,"Tirumala septentrionis","T1",8,2003,"Asia","Nymphalidae","Papilionoidea"
"BONEBRAKE_et_al_2016","Lepidoptera",1,"Vindula erota","T1",8,2003,"Asia","Nymphalidae","Papilionoidea"
"BONEBRAKE_et_al_2016","Lepidoptera",1,"Appias lyncida","T1",7,2003,"Asia","Pieridae","Papilionoidea"
"BONEBRAKE_et_al_2016","Lepidoptera",1,"Argyreus hyperbius","T1",7,2003,"Asia","Nymphalidae","Papilionoidea"
"BONEBRAKE_et_al_2016","Lepidoptera",1,"Ariadne ariadne","T1",7,2003,"Asia","Papilionidae","Papilionoidea"
"BONEBRAKE_et_al_2016","Lepidoptera",1,"Cethosia biblis","T1",7,2003,"Asia","Nymphalidae","Papilionoidea"
"BONEBRAKE_et_al_2016","Lepidoptera",1,"Euploea mulciber","T1",7,2003,"Asia","Nymphalidae","Papilionoidea"
"BONEBRAKE_et_al_2016","Lepidoptera",1,"Heliophorus ila","T1",7,2003,"Asia","Lycaenidae","Papilionoidea"
"BONEBRAKE_et_al_2016","Lepidoptera",1,"Mycalesis inopia","T1",7,2003,"Asia","Nymphalidae","Papilionoidea"
"BONEBRAKE_et_al_2016","Lepidoptera",1,"Notocrypta curvifascia","T1",7,2003,"Asia","Hesperiidae","Papilionoidea"
"BONEBRAKE_et_al_2016","Lepidoptera",2,"Papilio helenus","T1",7,2003,"Asia","Papilionidae","Papilionoidea"
"BONEBRAKE_et_al_2016","Lepidoptera",3,"Papilio memnon","T1",7,2003,"Asia","Papilionidae","Papilionoidea"
"BONEBRAKE_et_al_2016","Lepidoptera",1,"Penthema darlisa","T1",7,2003,"Asia","Satyridae","Other"
"BONEBRAKE_et_al_2016","Lepidoptera",6,"Pseudozizeeria maha","T1",7,2003,"Asia","Lycaenidae","Papilionoidea"
"BONEBRAKE_et_al_2016","Lepidoptera",1,"Ragadia crisilda","T1",7,2003,"Asia","Satyridae","Other"
"BONEBRAKE_et_al_2016","Lepidoptera",1,"Vindula erota","T1",7,2003,"Asia","Nymphalidae","Papilionoidea"
"BONEBRAKE_et_al_2016","Lepidoptera",11,"Ypthima baldus","T1",7,2003,"Asia","Satyridae","Other"
"BONEBRAKE_et_al_2016","Lepidoptera",1,"Zemeros flegyas","T1",7,2003,"Asia","Riodinidae","Papilionoidea"
"BONEBRAKE_et_al_2016","Lepidoptera",1,"Abisara fylla","T1",8,2003,"Asia","Riodinidae","Papilionoidea"
"BONEBRAKE_et_al_2016","Lepidoptera",2,"Ariadne ariadne","T1",8,2003,"Asia","Papilionidae","Papilionoidea"
"BONEBRAKE_et_al_2016","Lepidoptera",2,"Cethosia biblis","T1",8,2003,"Asia","Nymphalidae","Papilionoidea"
"BONEBRAKE_et_al_2016","Lepidoptera",1,"Ideopsis similis","T1",8,2003,"Asia","Nymphalidae","Papilionoidea"
"BONEBRAKE_et_al_2016","Lepidoptera",1,"Jamides alecto","T1",8,2003,"Asia","Lycaenidae","Papilionoidea"
"BONEBRAKE_et_al_2016","Lepidoptera",1,"Lethe verma","T1",8,2003,"Asia","Nymphalidae","Papilionoidea"
"BONEBRAKE_et_al_2016","Lepidoptera",1,"Mycalesis misenus","T1",8,2003,"Asia","Nymphalidae","Papilionoidea"
"BONEBRAKE_et_al_2016","Lepidoptera",1,"Neope muirheadi","T1",8,2003,"Asia","Satyridae","Other"
"BONEBRAKE_et_al_2016","Lepidoptera",1,"Neptis hylas","T1",8,2003,"Asia","Nymphalidae","Papilionoidea"
"BONEBRAKE_et_al_2016","Lepidoptera",1,"Notocrypta curvifascia","T1",8,2003,"Asia","Hesperiidae","Papilionoidea"
"BONEBRAKE_et_al_2016","Lepidoptera",1,"Parantica sita","T1",8,2003,"Asia","Nymphalidae","Papilionoidea"
"BONEBRAKE_et_al_2016","Lepidoptera",6,"Parnara sp","T1",8,2003,"Asia","Hesperiidae","Papilionoidea"
"BONEBRAKE_et_al_2016","Lepidoptera",2,"Pelopidas agna","T1",8,2003,"Asia","Hesperiidae","Papilionoidea"
"BONEBRAKE_et_al_2016","Lepidoptera",2,"Pseudozizeeria maha","T1",8,2003,"Asia","Lycaenidae","Papilionoidea"
"BONEBRAKE_et_al_2016","Lepidoptera",1,"Stibochiona nicea","T1",8,2003,"Asia","Nymphalidae","Papilionoidea"
"BONEBRAKE_et_al_2016","Lepidoptera",2,"Ypthima baldus","T1",8,2003,"Asia","Satyridae","Other"
"BONEBRAKE_et_al_2016","Lepidoptera",10,"Cethosia biblis","T1",7,2003,"Asia","Nymphalidae","Papilionoidea"
"BONEBRAKE_et_al_2016","Lepidoptera",1,"Danaus genutia","T1",7,2003,"Asia","Nymphalidae","Papilionoidea"
"BONEBRAKE_et_al_2016","Lepidoptera",1,"Mycalesis mineus","T1",7,2003,"Asia","Nymphalidae","Papilionoidea"
"BONEBRAKE_et_al_2016","Lepidoptera",1,"Neptis hylas","T1",7,2003,"Asia","Nymphalidae","Papilionoidea"
"BONEBRAKE_et_al_2016","Lepidoptera",2,"Papilio memnon","T1",7,2003,"Asia","Papilionidae","Papilionoidea"
"BONEBRAKE_et_al_2016","Lepidoptera",1,"Parantica aglea","T1",7,2003,"Asia","Nymphalidae","Papilionoidea"
"BONEBRAKE_et_al_2016","Lepidoptera",5,"Parnara sp","T1",7,2003,"Asia","Hesperiidae","Papilionoidea"
"BONEBRAKE_et_al_2016","Lepidoptera",2,"Pelopidas agna","T1",7,2003,"Asia","Hesperiidae","Papilionoidea"
"BONEBRAKE_et_al_2016","Lepidoptera",8,"Pseudozizeeria maha","T1",7,2003,"Asia","Lycaenidae","Papilionoidea"
"BONEBRAKE_et_al_2016","Lepidoptera",1,"Tirumala septentrionis","T1",7,2003,"Asia","Nymphalidae","Papilionoidea"
"BONEBRAKE_et_al_2016","Lepidoptera",7,"Ypthima baldus","T1",7,2003,"Asia","Satyridae","Other"
"BONEBRAKE_et_al_2016","Lepidoptera",1,"Argyreus hyperbius","T1",8,2003,"Asia","Nymphalidae","Papilionoidea"
"BONEBRAKE_et_al_2016","Lepidoptera",1,"Astictopterus jama","T1",8,2003,"Asia","Hesperiidae","Papilionoidea"
"BONEBRAKE_et_al_2016","Lepidoptera",1,"Catopsilia pomona","T1",8,2003,"Asia","Pieridae","Papilionoidea"
"BONEBRAKE_et_al_2016","Lepidoptera",1,"Cethosia biblis","T1",8,2003,"Asia","Nymphalidae","Papilionoidea"
"BONEBRAKE_et_al_2016","Lepidoptera",2,"Euploea mulciber","T1",8,2003,"Asia","Nymphalidae","Papilionoidea"
"BONEBRAKE_et_al_2016","Lepidoptera",1,"Neope muirheadi","T1",8,2003,"Asia","Satyridae","Other"
"BONEBRAKE_et_al_2016","Lepidoptera",4,"Parnara sp","T1",8,2003,"Asia","Hesperiidae","Papilionoidea"
"BONEBRAKE_et_al_2016","Lepidoptera",1,"Pelopidas agna","T1",8,2003,"Asia","Hesperiidae","Papilionoidea"
"BONEBRAKE_et_al_2016","Lepidoptera",2,"Pseudozizeeria maha","T1",8,2003,"Asia","Lycaenidae","Papilionoidea"
"BONEBRAKE_et_al_2016","Lepidoptera",1,"Tirumala septentrionis","T1",8,2003,"Asia","Nymphalidae","Papilionoidea"
"BONEBRAKE_et_al_2016","Lepidoptera",1,"Appias lyncida","T1",7,2003,"Asia","Pieridae","Papilionoidea"
"BONEBRAKE_et_al_2016","Lepidoptera",1,"Argyreus hyperbius","T1",7,2003,"Asia","Nymphalidae","Papilionoidea"
"BONEBRAKE_et_al_2016","Lepidoptera",1,"Astictopterus jama","T1",7,2003,"Asia","Hesperiidae","Papilionoidea"
"BONEBRAKE_et_al_2016","Lepidoptera",2,"Cethosia biblis","T1",7,2003,"Asia","Nymphalidae","Papilionoidea"
"BONEBRAKE_et_al_2016","Lepidoptera",1,"Isoteinon lamprospilus","T1",7,2003,"Asia","Hesperiidae","Papilionoidea"
"BONEBRAKE_et_al_2016","Lepidoptera",1,"Jamides celeno","T1",7,2003,"Asia","Lycaenidae","Papilionoidea"
"BONEBRAKE_et_al_2016","Lepidoptera",1,"Parantica melaneus","T1",7,2003,"Asia","Nymphalidae","Papilionoidea"
"BONEBRAKE_et_al_2016","Lepidoptera",1,"Pseudozizeeria maha","T1",7,2003,"Asia","Lycaenidae","Papilionoidea"
"BONEBRAKE_et_al_2016","Lepidoptera",3,"Troides aeacus","T1",7,2003,"Asia","Papilionidae","Papilionoidea"
"BONEBRAKE_et_al_2016","Lepidoptera",1,"Ypthima baldus","T1",7,2003,"Asia","Satyridae","Other"
"BONEBRAKE_et_al_2016","Lepidoptera",1,"Zemeros flegyas","T1",7,2003,"Asia","Riodinidae","Papilionoidea"
"BONEBRAKE_et_al_2016","Lepidoptera",2,"Argyreus hyperbius","T1",6,2003,"Asia","Nymphalidae","Papilionoidea"
"BONEBRAKE_et_al_2016","Lepidoptera",1,"Ariadne ariadne","T1",6,2003,"Asia","Papilionidae","Papilionoidea"
"BONEBRAKE_et_al_2016","Lepidoptera",1,"Athyma selenophora","T1",6,2003,"Asia","Nymphalidae","Papilionoidea"
"BONEBRAKE_et_al_2016","Lepidoptera",1,"Catopsilia pomona","T1",6,2003,"Asia","Pieridae","Papilionoidea"
"BONEBRAKE_et_al_2016","Lepidoptera",4,"Cethosia biblis","T1",6,2003,"Asia","Nymphalidae","Papilionoidea"
"BONEBRAKE_et_al_2016","Lepidoptera",1,"Euploea mulciber","T1",6,2003,"Asia","Nymphalidae","Papilionoidea"
"BONEBRAKE_et_al_2016","Lepidoptera",1,"Hebomoia glaucippe","T1",6,2003,"Asia","Pieridae","Papilionoidea"
"BONEBRAKE_et_al_2016","Lepidoptera",1,"Lamproptera curius","T1",6,2003,"Asia","Papilionidae","Papilionoidea"
"BONEBRAKE_et_al_2016","Lepidoptera",1,"Neptis clinia","T1",6,2003,"Asia","Nymphalidae","Papilionoidea"
"BONEBRAKE_et_al_2016","Lepidoptera",2,"Papilio memnon","T1",6,2003,"Asia","Papilionidae","Papilionoidea"
"BONEBRAKE_et_al_2016","Lepidoptera",2,"Papilio paris","T1",6,2003,"Asia","Papilionidae","Papilionoidea"
"BONEBRAKE_et_al_2016","Lepidoptera",1,"Parantica melaneus","T1",6,2003,"Asia","Nymphalidae","Papilionoidea"
"BONEBRAKE_et_al_2016","Lepidoptera",1,"Parthenos sylvia","T1",6,2003,"Asia","Pieridae","Papilionoidea"
"BONEBRAKE_et_al_2016","Lepidoptera",1,"Pieris canidia","T1",6,2003,"Asia","Pieridae","Papilionoidea"
"BONEBRAKE_et_al_2016","Lepidoptera",4,"Pseudozizeeria maha","T1",6,2003,"Asia","Lycaenidae","Papilionoidea"
"BONEBRAKE_et_al_2016","Lepidoptera",1,"Troides aeacus","T1",6,2003,"Asia","Papilionidae","Papilionoidea"
"BONEBRAKE_et_al_2016","Lepidoptera",1,"Ypthima imitans","T1",6,2003,"Asia","Satyridae","Other"
"BONEBRAKE_et_al_2016","Lepidoptera",13,"Lethe syrcis","T1",10,2004,"Asia","Nymphalidae","Papilionoidea"
"BONEBRAKE_et_al_2016","Lepidoptera",5,"Melanitis leda","T1",10,2004,"Asia","Satyridae","Other"
"BONEBRAKE_et_al_2016","Lepidoptera",3,"Mycalesis inopia","T1",10,2004,"Asia","Nymphalidae","Papilionoidea"
"BONEBRAKE_et_al_2016","Lepidoptera",6,"Mycalesis misenus","T1",10,2004,"Asia","Nymphalidae","Papilionoidea"
"BONEBRAKE_et_al_2016","Lepidoptera",1,"Neope muirheadi","T1",10,2004,"Asia","Satyridae","Other"
"BONEBRAKE_et_al_2016","Lepidoptera",20,"Ragadia crisilda","T1",10,2004,"Asia","Satyridae","Other"
"BONEBRAKE_et_al_2016","Lepidoptera",1,"Ypthima imitans","T1",10,2004,"Asia","Satyridae","Other"
"BONEBRAKE_et_al_2016","Lepidoptera",1,"Argyreus hyperbius","T1",10,2004,"Asia","Nymphalidae","Papilionoidea"
"BONEBRAKE_et_al_2016","Lepidoptera",1,"Astictopterus jama","T1",10,2004,"Asia","Hesperiidae","Papilionoidea"
"BONEBRAKE_et_al_2016","Lepidoptera",1,"Athyma cama","T1",10,2004,"Asia","Nymphalidae","Papilionoidea"
